10,7
110,105
210,103
310,167
410,219
510,370
610,111
710,505
810,519
910,646
1000,827
11000,1986
21000,661
31000,1071
41000,8120
51000,19566
61000,8915
71000,4955
81000,12740
91000,60226
101000,4017
111000,78664
121000,28370
131000,7609
141000,103992
151000,135047
161000,144369
171000,2233
181000,158256
191000,146783
201000,23561
211000,99354
221000,69090
231000,40519
241000,18782
251000,9087
261000,214073
271000,92172
281000,24681
291000,237840
301000,209379
311000,226103
321000,220860
331000,267097
341000,314497
351000,66445
361000,62445
371000,209598
381000,145555
391000,54447
401000,286949
411000,404162
421000,234377
431000,361067
441000,58491
451000,120118
461000,11778
471000,71636
481000,31984
491000,148395
501000,229538
511000,289895
521000,390363
531000,407467
541000,175442
551000,140273
561000,378682
571000,374464
581000,48078
591000,163153
601000,121266
611000,284723
621000,521751
631000,595766
641000,255194
651000,289380
661000,479252
671000,219752
681000,47711
691000,257251
701000,187085
711000,272731
721000,64298
731000,508413
741000,60203
751000,735155
761000,756277
771000,385855
781000,165604
791000,716988
801000,426818
811000,40855
821000,485490
831000,544166
841000,743306
851000,674784
861000,150980
871000,386258
881000,335756
891000,789336
901000,518192
911000,755694
921000,477558
931000,33852
941000,724078
951000,187358
961000,885277
971000,338168
981000,691410
991000,170935
