10,18
110,122
210,234
310,340
410,444
510,536
610,636
710,732
810,827
910,927
1000,1010
11000,11267
21000,20914
31000,31959
41000,40674
51000,50922
61000,61048
71000,71509
81000,82212
91000,89351
101000,99919
111000,110976
121000,122814
131000,127949
141000,138556
151000,155700
161000,167326
171000,177627
181000,180744
191000,197116
201000,196408
211000,222904
221000,227361
231000,231958
241000,244487
251000,251279
261000,263850
271000,271922
281000,286989
291000,285508
301000,297820
311000,299202
321000,304714
331000,337563
341000,346316
351000,360392
361000,360028
371000,359311
381000,377636
391000,396280
401000,386441
411000,408869
421000,427216
431000,423808
441000,443339
451000,441436
461000,482631
471000,487517
481000,472020
491000,486241
501000,468680
511000,507189
521000,529217
531000,533109
541000,567298
551000,543693
561000,576683
571000,588623
581000,560546
591000,571765
601000,567035
611000,609423
621000,626698
631000,635093
641000,632809
651000,656361
661000,668026
671000,665927
681000,694922
